data,1USD,1EUR,pelny numer tabeli
20190102,3.7619,4.3016,001/A/NBP/2019
20190103,3.7827,4.3030,002/A/NBP/2019
20190104,3.7720,4.3018,003/A/NBP/2019
20190107,3.7575,4.2989,004/A/NBP/2019
20190108,3.7559,4.3013,005/A/NBP/2019
20190109,3.7509,4.2989,006/A/NBP/2019
20190110,3.7360,4.3055,007/A/NBP/2019
20190111,3.7289,4.2957,008/A/NBP/2019
20190114,3.7458,4.2936,009/A/NBP/2019
20190115,3.7542,4.2922,010/A/NBP/2019
20190116,3.7619,4.2929,011/A/NBP/2019
20190117,3.7615,4.2875,012/A/NBP/2019
20190118,3.7694,4.2964,013/A/NBP/2019
20190121,3.7751,4.2928,014/A/NBP/2019
20190122,3.7727,4.2862,015/A/NBP/2019
20190123,3.7747,4.2867,016/A/NBP/2019
20190124,3.7844,4.2942,017/A/NBP/2019
20190125,3.7893,4.2935,018/A/NBP/2019
20190128,3.7592,4.2885,019/A/NBP/2019
20190129,3.7563,4.2974,020/A/NBP/2019
20190130,3.7577,4.2952,021/A/NBP/2019
20190131,3.7271,4.2802,022/A/NBP/2019
